   FEM        Exact
  0.99999885   0.99999885
  0.99999885   0.99999885
  0.99999884   0.99999884
  0.99999884   0.99999884
  0.99999883   0.99999883
  0.99999882   0.99999882
  0.99999882   0.99999881
  0.99999881   0.99999880
  0.99999879   0.99999879
  0.99999878   0.99999878
  0.99999877   0.99999876
  0.99999875   0.99999875
  0.99999874   0.99999873
  0.99999872   0.99999871
  0.99999870   0.99999869
  0.99999868   0.99999867
  0.99999866   0.99999865
  0.99999864   0.99999863
  0.99999861   0.99999860
  0.99999859   0.99999858
  0.99999856   0.99999855
  0.99999853   0.99999852
  0.99999850   0.99999849
  0.99999847   0.99999846
  0.99999844   0.99999842
  0.99999841   0.99999839
  0.99999837   0.99999835
  0.99999833   0.99999832
  0.99999830   0.99999828
  0.99999826   0.99999824
  0.99999821   0.99999819
  0.99999817   0.99999815
  0.99999812   0.99999810
  0.99999808   0.99999805
  0.99999803   0.99999800
  0.99999798   0.99999795
  0.99999793   0.99999790
  0.99999787   0.99999784
  0.99999781   0.99999778
  0.99999776   0.99999772
  0.99999769   0.99999766
  0.99999763   0.99999760
  0.99999757   0.99999753
  0.99999750   0.99999746
  0.99999743   0.99999739
  0.99999736   0.99999732
  0.99999728   0.99999724
  0.99999721   0.99999717
  0.99999713   0.99999709
  0.99999704   0.99999700
  0.99999696   0.99999692
  0.99999687   0.99999683
  0.99999678   0.99999674
  0.99999669   0.99999664
  0.99999659   0.99999654
  0.99999649   0.99999644
  0.99999639   0.99999634
  0.99999629   0.99999623
  0.99999618   0.99999612
  0.99999607   0.99999601
  0.99999595   0.99999589
  0.99999583   0.99999577
  0.99999571   0.99999565
  0.99999558   0.99999552
  0.99999545   0.99999539
  0.99999532   0.99999525
  0.99999518   0.99999511
  0.99999504   0.99999496
  0.99999489   0.99999482
  0.99999474   0.99999466
  0.99999459   0.99999451
  0.99999443   0.99999434
  0.99999426   0.99999418
  0.99999409   0.99999400
  0.99999392   0.99999383
  0.99999374   0.99999365
  0.99999355   0.99999346
  0.99999336   0.99999327
  0.99999317   0.99999307
  0.99999297   0.99999286
  0.99999276   0.99999265
  0.99999255   0.99999244
  0.99999233   0.99999221
  0.99999210   0.99999199
  0.99999187   0.99999175
  0.99999163   0.99999151
  0.99999138   0.99999126
  0.99999113   0.99999100
  0.99999087   0.99999074
  0.99999061   0.99999047
  0.99999033   0.99999019
  0.99999005   0.99998990
  0.99998976   0.99998961
  0.99998946   0.99998931
  0.99998915   0.99998900
  0.99998884   0.99998868
  0.99998851   0.99998835
  0.99998818   0.99998801
  0.99998784   0.99998766
  0.99998749   0.99998731
  0.99998712   0.99998694
  0.99998675   0.99998656
  0.99998637   0.99998618
  0.99998598   0.99998578
  0.99998557   0.99998537
  0.99998516   0.99998495
  0.99998473   0.99998452
  0.99998430   0.99998407
  0.99998385   0.99998362
  0.99998338   0.99998315
  0.99998291   0.99998267
  0.99998242   0.99998217
  0.99998192   0.99998166
  0.99998140   0.99998114
  0.99998088   0.99998061
  0.99998033   0.99998006
  0.99997978   0.99997949
  0.99997920   0.99997891
  0.99997861   0.99997831
  0.99997801   0.99997770
  0.99997739   0.99997707
  0.99997675   0.99997643
  0.99997610   0.99997576
  0.99997543   0.99997508
  0.99997474   0.99997439
  0.99997403   0.99997367
  0.99997330   0.99997293
  0.99997256   0.99997218
  0.99997179   0.99997140
  0.99997100   0.99997060
  0.99997020   0.99996978
  0.99996937   0.99996894
  0.99996852   0.99996808
  0.99996764   0.99996720
  0.99996675   0.99996629
  0.99996583   0.99996536
  0.99996488   0.99996440
  0.99996392   0.99996342
  0.99996292   0.99996242
  0.99996190   0.99996138
  0.99996086   0.99996032
  0.99995978   0.99995924
  0.99995868   0.99995812
  0.99995755   0.99995698
  0.99995639   0.99995580
  0.99995520   0.99995460
  0.99995398   0.99995336
  0.99995273   0.99995209
  0.99995145   0.99995079
  0.99995013   0.99994946
  0.99994878   0.99994809
  0.99994739   0.99994669
  0.99994597   0.99994525
  0.99994452   0.99994377
  0.99994302   0.99994226
  0.99994149   0.99994071
  0.99993992   0.99993912
  0.99993831   0.99993749
  0.99993666   0.99993581
  0.99993496   0.99993410
  0.99993322   0.99993234
  0.99993144   0.99993054
  0.99992962   0.99992869
  0.99992775   0.99992679
  0.99992583   0.99992485
  0.99992386   0.99992286
  0.99992185   0.99992082
  0.99991978   0.99991873
  0.99991766   0.99991659
  0.99991549   0.99991439
  0.99991327   0.99991214
  0.99991099   0.99990983
  0.99990865   0.99990746
  0.99990626   0.99990504
  0.99990381   0.99990256
  0.99990129   0.99990001
  0.99989872   0.99989741
  0.99989608   0.99989473
  0.99989337   0.99989200
  0.99989060   0.99988919
  0.99988777   0.99988632
  0.99988486   0.99988338
  0.99988188   0.99988037
  0.99987883   0.99987728
  0.99987571   0.99987412
  0.99987251   0.99987088
  0.99986923   0.99986756
  0.99986587   0.99986416
  0.99986243   0.99986068
  0.99985891   0.99985712
  0.99985530   0.99985347
  0.99985161   0.99984973
  0.99984783   0.99984590
  0.99984396   0.99984199
  0.99983999   0.99983797
  0.99983593   0.99983387
  0.99983178   0.99982966
  0.99982752   0.99982536
  0.99982317   0.99982095
  0.99981871   0.99981644
  0.99981414   0.99981182
  0.99980947   0.99980709
  0.99980468   0.99980225
  0.99979979   0.99979730
  0.99979478   0.99979223
  0.99978965   0.99978704
  0.99978440   0.99978173
  0.99977903   0.99977630
  0.99977353   0.99977074
  0.99976791   0.99976504
  0.99976215   0.99975922
  0.99975626   0.99975326
  0.99975023   0.99974717
  0.99974407   0.99974093
  0.99973776   0.99973455
  0.99973131   0.99972802
  0.99972470   0.99972134
  0.99971795   0.99971451
  0.99971104   0.99970752
  0.99970397   0.99970038
  0.99969674   0.99969306
  0.99968935   0.99968559
  0.99968178   0.99967794
  0.99967405   0.99967011
  0.99966614   0.99966211
  0.99965805   0.99965393
  0.99964977   0.99964557
  0.99964131   0.99963701
  0.99963266   0.99962826
  0.99962381   0.99961932
  0.99961477   0.99961017
  0.99960552   0.99960082
  0.99959607   0.99959126
  0.99958640   0.99958149
  0.99957652   0.99957149
  0.99956641   0.99956128
  0.99955609   0.99955084
  0.99954553   0.99954017
  0.99953474   0.99952926
  0.99952371   0.99951811
  0.99951244   0.99950671
  0.99950092   0.99949507
  0.99948915   0.99948316
  0.99947711   0.99947100
  0.99946482   0.99945857
  0.99945225   0.99944587
  0.99943941   0.99943289
  0.99942629   0.99941963
  0.99941289   0.99940608
  0.99939919   0.99939223
  0.99938520   0.99937809
  0.99937090   0.99936364
  0.99935630   0.99934888
  0.99934138   0.99933380
  0.99932614   0.99931840
  0.99931057   0.99930267
  0.99929467   0.99928660
  0.99927843   0.99927018
  0.99926184   0.99925342
  0.99924490   0.99923630
  0.99922760   0.99921881
  0.99920993   0.99920095
  0.99919188   0.99918272
  0.99917346   0.99916410
  0.99915464   0.99914509
  0.99913543   0.99912567
  0.99911581   0.99910585
  0.99909579   0.99908562
  0.99907534   0.99906495
  0.99905446   0.99904386
  0.99903315   0.99902233
  0.99901140   0.99900035
  0.99898919   0.99897791
  0.99896652   0.99895501
  0.99894338   0.99893163
  0.99891976   0.99890777
  0.99889566   0.99888342
  0.99887106   0.99885857
  0.99884595   0.99883320
  0.99882033   0.99880732
  0.99879418   0.99878091
  0.99876750   0.99875395
  0.99874027   0.99872645
  0.99871249   0.99869839
  0.99868415   0.99866976
  0.99865523   0.99864055
  0.99862572   0.99861075
  0.99859562   0.99858035
  0.99856492   0.99854933
  0.99853359   0.99851769
  0.99850163   0.99848542
  0.99846904   0.99845250
  0.99843579   0.99841892
  0.99840188   0.99838467
  0.99836730   0.99834975
  0.99833202   0.99831412
  0.99829605   0.99827779
  0.99825936   0.99824075
  0.99822195   0.99820297
  0.99818380   0.99816444
  0.99814490   0.99812516
  0.99810524   0.99808511
  0.99806479   0.99804428
  0.99802356   0.99800264
  0.99798152   0.99796020
  0.99793867   0.99791692
  0.99789497   0.99787281
  0.99785044   0.99782784
  0.99780504   0.99778201
  0.99775876   0.99773528
  0.99771159   0.99768766
  0.99766351   0.99763912
  0.99761451   0.99758965
  0.99756456   0.99753924
  0.99751367   0.99748786
  0.99746180   0.99743550
  0.99740895   0.99738214
  0.99735509   0.99732777
  0.99730020   0.99727237
  0.99724428   0.99721593
  0.99718731   0.99715842
  0.99712926   0.99709982
  0.99707011   0.99704013
  0.99700986   0.99697931
  0.99694848   0.99691736
  0.99688595   0.99685425
  0.99682226   0.99678997
  0.99675738   0.99672449
  0.99669130   0.99665780
  0.99662399   0.99658987
  0.99655544   0.99652069
  0.99648562   0.99645023
  0.99641452   0.99637848
  0.99634211   0.99630541
  0.99626837   0.99623100
  0.99619329   0.99615523
